device_name,device_type,ip_address,gateway
1A-RIO-SDT-01A-1,1210,10.1.52.30,
1A-RIO-SDT-01A-2,1210,10.1.52.31,
1A-RIO-SDT-01A-3,1210,10.1.52.32,
1A-RIO-SDT-01A-4,1210,10.1.52.33,
1A-RIO-SDT-02A-1,1210,10.1.52.34,
1A-RIO-SDT-02A-2,1210,10.1.52.35,
1A-RIO-SDT-02A-3,1210,10.1.52.36,
1A-RIO-SDT-02A-4,1210,10.1.52.37,
1A-RIO-SDT-03A-1,1210,10.1.52.38,
1A-RIO-SDT-03A-2,1210,10.1.52.39,
1A-RIO-SDT-03A-3,1210,10.1.52.40,
1A-RIO-SDT-03A-4,1210,10.1.52.41,
1A-RIO-SDT-04A-1,1210,10.1.52.42,
1A-RIO-SDT-04A-2,1210,10.1.52.43,
1A-RIO-SDT-04A-3,1210,10.1.52.44,
1A-RIO-SDT-04A-4,1210,10.1.52.45,
1A-RIO-SDT-05A-1,1210,10.1.52.46,
1A-RIO-SDT-05A-2,1210,10.1.52.47,
1A-RIO-SDT-05A-3,1210,10.1.52.48,
1A-RIO-SDT-05A-4,1210,10.1.52.49,
1A-RIO-SDT-06A-1,1210,10.1.54.30,
1A-RIO-SDT-06A-2,1210,10.1.54.31,
1A-RIO-SDT-06A-3,1210,10.1.54.32,
1A-RIO-SDT-06A-4,1210,10.1.54.33,
1A-RIO-SDT-07A-1,1210,10.1.54.34,
1A-RIO-SDT-07A-2,1210,10.1.54.35,
1A-RIO-SDT-07A-3,1210,10.1.54.36,
1A-RIO-SDT-07A-4,1210,10.1.54.37,
1A-RIO-SDT-08A-1,1210,10.1.54.38,
1A-RIO-SDT-08A-2,1210,10.1.54.39,
1A-RIO-SDT-08A-3,1210,10.1.54.40,
1A-RIO-SDT-08A-4,1210,10.1.54.41,
1A-RIO-SDT-09A-1,1210,10.1.54.42,
1A-RIO-SDT-09A-2,1210,10.1.54.43,
1A-RIO-SDT-09A-3,1210,10.1.54.44,
1A-RIO-SDT-09A-4,1210,10.1.54.45,
1A-RIO-SDT-10A-1,1210,10.1.54.46,
1A-RIO-SDT-10A-2,1210,10.1.54.47,
1A-RIO-SDT-10A-3,1210,10.1.54.48,
1A-RIO-SDT-10A-4,1210,10.1.54.49,
1A-RIO-SDT-11A-1,1210,10.1.58.30,
1A-RIO-SDT-11A-2,1210,10.1.58.31,
1A-RIO-SDT-11A-3,1210,10.1.58.32,
1A-RIO-SDT-11A-4,1210,10.1.58.33,
1A-RIO-SDT-12A-1,1210,10.1.58.34,
1A-RIO-SDT-12A-2,1210,10.1.58.35,
1A-RIO-SDT-12A-3,1210,10.1.58.36,
1A-RIO-SDT-12A-4,1210,10.1.58.37,
1A-RIO-SDT-13A-1,1210,10.1.58.38,
1A-RIO-SDT-13A-2,1210,10.1.58.39,
1A-RIO-SDT-13A-3,1210,10.1.58.40,
1A-RIO-SDT-13A-4,1210,10.1.58.41,
4A-RIO-TX-M11-R11,1210,10.8.199.10,
1B-RIO-SDT-01A-1,1210,10.1.77.30,
1B-RIO-SDT-01A-2,1210,10.1.77.31,
1B-RIO-SDT-01A-3,1210,10.1.77.32,
1B-RIO-SDT-01A-4,1210,10.1.77.33,
1B-RIO-SDT-02A-1,1210,10.1.77.34,
1B-RIO-SDT-02A-2,1210,10.1.77.35,
1B-RIO-SDT-02A-3,1210,10.1.77.36,
1B-RIO-SDT-02A-4,1210,10.1.77.37,
1B-RIO-SDT-03A-1,1210,10.1.77.38,
1B-RIO-SDT-03A-2,1210,10.1.77.39,
1B-RIO-SDT-03A-3,1210,10.1.77.40,
1B-RIO-SDT-03A-4,1210,10.1.77.41,
1B-RIO-SDT-04A-1,1210,10.1.77.42,
1B-RIO-SDT-04A-2,1210,10.1.77.43,
1B-RIO-SDT-04A-3,1210,10.1.77.44,
1B-RIO-SDT-04A-4,1210,10.1.77.45,
1B-RIO-SDT-05A-1,1210,10.1.77.46,
1B-RIO-SDT-05A-2,1210,10.1.77.47,
1B-RIO-SDT-05A-3,1210,10.1.77.48,
1B-RIO-SDT-05A-4,1210,10.1.77.49,
1B-RIO-SDT-06A-1,1210,10.1.79.30,
1B-RIO-SDT-06A-2,1210,10.1.79.31,
1B-RIO-SDT-06A-3,1210,10.1.79.32,
1B-RIO-SDT-06A-4,1210,10.1.79.33,
1B-RIO-SDT-07A-1,1210,10.1.79.34,
1B-RIO-SDT-07A-2,1210,10.1.79.35,
